TransactionAmount,TransactionDate,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionType,CustomerOccupation,Channel,Cluster
465.45,2023-12-12 16:23:31,Denver,36.0,129.0,1.0,3465.54,2024-11-04 08:12:19,Debit,Engineer,Branch,2
555.8,2023-10-30 16:52:49,Austin,19.0,158.0,1.0,1131.26,2024-11-04 08:07:35,Debit,Student,Branch,1
492.93,2023-12-14 18:32:14,Columbus,39.0,234.0,1.0,5109.97,2024-11-04 08:11:51,Debit,Engineer,Online,2
18.68,2023-02-21 16:56:50,Albuquerque,59.0,106.0,1.0,7948.369999999999,2024-11-04 08:12:01,Debit,Retired,Branch,3
71.48,2023-06-08 18:18:50,Columbus,18.0,169.0,1.0,6568.59,2024-11-04 08:09:20,Debit,Student,Online,1
59.32,2023-02-28 16:36:58,Los Angeles,71.0,37.99999999999999,1.0,5750.89,2024-11-04 08:09:24,Debit,Retired,Branch,3
85.77,2023-08-11 18:31:31,Las Vegas,38.0,93.0,1.0,9146.19,2024-11-04 08:08:13,Debit,Engineer,Branch,0
52.2,2023-06-06 18:54:15,Atlanta,39.0,120.0,1.0,8974.93,2024-11-04 08:07:01,Debit,Engineer,Online,2
345.84,2023-05-02 18:25:46,Fort Worth,22.0,142.0,3.0,1402.5,2024-11-04 08:07:04,Debit,Student,Online,1
145.54,2023-03-02 16:43:56,Raleigh,21.0,96.0,1.0,1930.96,2024-11-04 08:07:09,Debit,Student,Online,1
7.49,2023-10-20 17:53:13,Houston,65.0,276.0,1.0,3634.67,2024-11-04 08:09:44,Debit,Retired,Online,3
246.93,2023-04-17 16:37:01,Miami,23.0,158.0,5.0,673.3499999999999,2024-11-04 08:11:38,Debit,Student,Branch,1
40.32,2023-03-29 16:42:38,Milwaukee,37.0,95.0,1.0,2686.52,2024-11-04 08:11:59,Debit,Engineer,Branch,0
127.45,2023-01-24 16:18:32,Las Vegas,44.0,197.0,1.0,1772.06,2024-11-04 08:11:22,Debit,Engineer,Online,2
56.17,2023-09-20 16:55:42,Detroit,27.0,283.0,1.0,1351.69,2024-11-04 08:08:30,Debit,Student,Branch,1
28.31,2023-07-17 17:49:22,Miami,59.0,20.0,1.0,8334.47,2024-11-04 08:09:17,Debit,Engineer,Online,2
59.12,2023-02-06 16:24:24,Baltimore,29.0,257.0,1.0,9823.64,2024-11-04 08:06:58,Debit,Engineer,Branch,2
396.45,2023-09-25 16:26:00,New York,49.0,168.00000000000003,3.0,9690.15,2024-11-04 08:11:13,Debit,Engineer,Branch,2
877.81,2023-03-13 17:23:24,Los Angeles,22.0,150.0,1.0,399.0,2024-11-04 08:07:50,Debit,Student,Online,1
255.26,2023-10-27 16:42:49,San Francisco,45.0,50.00000000000001,1.0,14815.87,2024-11-04 08:10:51,Debit,Engineer,Branch,0
124.76,2023-10-16 16:32:56,Seattle,49.0,45.0,1.0,5764.72,2024-11-04 08:06:23,Debit,Engineer,Branch,0
78.13,2023-11-21 16:58:44,Milwaukee,26.0,145.0,1.0,900.61,2024-11-04 08:12:18,Debit,Student,Branch,1
649.28,2023-03-02 17:53:32,San Jose,75.0,137.0,1.0,4875.86,2024-11-04 08:11:15,Debit,Retired,Branch,3
795.31,2023-10-12 17:07:40,Mesa,66.0,90.0,2.0,7914.879999999999,2024-11-04 08:11:17,Debit,Engineer,Branch,2
335.63,2023-01-24 17:17:20,Oklahoma City,55.0,215.99999999999997,1.0,1019.39,2024-11-04 08:07:32,Debit,Retired,Online,3
328.47,2023-07-31 18:39:50,San Antonio,63.0,119.0,1.0,4323.66,2024-11-04 08:07:31,Debit,Retired,Branch,3
34.02,2023-01-09 16:13:21,Philadelphia,38.0,18.999999999999996,1.0,14214.48,2024-11-04 08:11:45,Debit,Engineer,Online,2
241.42000000000002,2023-04-20 18:57:43,Charlotte,57.0,116.00000000000001,1.0,13357.02,2024-11-04 08:09:03,Debit,Engineer,Online,2
55.32,2023-04-12 16:03:37,Tucson,19.0,117.0,1.0,241.79000000000002,2024-11-04 08:08:03,Debit,Student,Branch,1
304.31,2023-07-26 16:52:28,Louisville,27.0,33.0,1.0,868.61,2024-11-04 08:09:53,Debit,Student,Branch,1
435.27,2023-10-04 17:49:29,Chicago,74.0,90.0,1.0,4673.28,2024-11-04 08:11:12,Debit,Retired,Branch,3
164.49,2023-12-13 16:01:38,Baltimore,26.0,75.0,1.0,1509.27,2024-11-04 08:10:33,Debit,Student,Branch,1
510.23999999999995,2023-10-09 16:29:40,Oklahoma City,19.0,105.0,1.0,781.7,2024-11-04 08:11:35,Debit,Student,Online,1
626.9,2023-11-27 16:45:57,Denver,26.0,138.0,1.0,265.51,2024-11-04 08:07:24,Debit,Student,Online,1
22.01,2023-03-27 16:45:18,Sacramento,41.0,175.0,1.0,1335.09,2024-11-04 08:06:31,Debit,Engineer,Online,2
425.34,2023-02-13 16:59:39,Kansas City,69.0,121.0,1.0,3907.5399999999995,2024-11-04 08:07:07,Debit,Retired,Online,3
424.56,2023-02-21 17:45:55,Omaha,51.0,264.0,1.0,5183.85,2024-11-04 08:09:02,Debit,Engineer,Online,2
85.43,2023-06-07 16:45:34,Virginia Beach,67.0,145.0,1.0,14904.9,2024-11-04 08:06:45,Debit,Engineer,Branch,0
169.5,2023-09-07 16:51:27,San Diego,28.0,142.0,1.0,918.8799999999999,2024-11-04 08:08:58,Debit,Student,Branch,1
104.63,2023-03-29 17:47:16,Omaha,62.0,90.0,1.0,4477.78,2024-11-04 08:10:42,Debit,Retired,Branch,3
316.95,2023-08-04 17:53:40,Mesa,25.0,83.0,1.0,1324.03,2024-11-04 08:09:15,Debit,Student,Branch,1
60.540000000000006,2023-12-14 17:52:37,Columbus,57.0,52.00000000000001,1.0,3534.93,2024-11-04 08:09:57,Debit,Retired,Branch,3
292.56,2023-03-03 17:37:41,Dallas,68.0,61.00000000000001,1.0,4638.37,2024-11-04 08:07:49,Debit,Retired,Branch,3
386.52,2023-06-09 16:18:15,Indianapolis,48.0,28.0,1.0,5630.61,2024-11-04 08:07:09,Debit,Engineer,Branch,0
112.07,2023-10-02 16:35:22,Kansas City,23.0,51.00000000000001,1.0,930.3,2024-11-04 08:11:37,Debit,Student,Branch,1
568.52,2023-10-06 18:44:37,Indianapolis,46.0,151.99999999999997,1.0,5499.91,2024-11-04 08:06:25,Debit,Engineer,Branch,2
263.99,2023-05-16 16:07:30,Dallas,79.0,227.0,2.0,4175.02,2024-11-04 08:11:03,Debit,Retired,Branch,3
349.64,2023-11-07 16:48:23,Las Vegas,48.0,226.0,1.0,6651.62,2024-11-04 08:08:09,Debit,Engineer,Online,2
601.4,2023-05-30 17:43:25,Philadelphia,56.0,104.0,1.0,8458.29,2024-11-04 08:08:01,Debit,Engineer,Branch,0
5.77,2023-11-02 16:01:40,Charlotte,50.0,123.99999999999999,1.0,13988.12,2024-11-04 08:11:32,Debit,Engineer,Online,2
201.33,2023-03-29 17:00:31,Nashville,42.0,186.0,1.0,2585.07,2024-11-04 08:11:41,Debit,Engineer,Branch,0
298.42,2023-04-25 16:11:24,Indianapolis,56.0,225.0,1.0,3014.75,2024-11-04 08:10:12,Debit,Retired,Branch,3
521.06,2023-04-18 18:40:47,Albuquerque,25.0,128.0,1.0,1951.42,2024-11-04 08:12:10,Debit,Student,Branch,1
117.28,2023-02-09 16:34:53,Austin,60.0,16.0,1.0,3665.77,2024-11-04 08:07:11,Debit,Engineer,Online,2
189.12,2023-11-13 16:42:28,Indianapolis,32.0,103.0,1.0,977.01,2024-11-04 08:08:42,Debit,Engineer,Branch,0
133.55,2023-07-18 16:12:00,Atlanta,44.0,220.0,1.0,3846.2800000000007,2024-11-04 08:10:18,Debit,Engineer,Branch,2
143.21,2023-01-13 17:00:16,Dallas,35.0,135.0,1.0,6374.82,2024-11-04 08:09:26,Debit,Engineer,Online,2
24.77,2023-07-04 18:20:33,Boston,62.0,55.0,1.0,5866.01,2024-11-04 08:12:15,Debit,Retired,Branch,3
233.92,2023-10-20 16:54:28,Jacksonville,26.0,280.0,1.0,6537.62,2024-11-04 08:08:45,Debit,Student,Online,1
1212.51,2023-10-04 16:36:29,Indianapolis,20.0,24.0,1.0,605.9499999999999,2024-11-04 08:06:51,Debit,Student,Branch,1
232.12,2023-12-28 17:31:03,Omaha,37.0,51.00000000000001,1.0,6689.87,2024-11-04 08:09:17,Debit,Engineer,Branch,2
162.63,2023-06-12 17:53:52,Kansas City,22.0,113.0,1.0,634.17,2024-11-04 08:08:22,Debit,Student,Online,1
91.53,2023-03-13 16:32:12,Milwaukee,44.0,69.00000000000001,1.0,14676.05,2024-11-04 08:11:36,Debit,Engineer,Branch,0
120.29,2023-12-18 18:46:27,Miami,19.0,77.0,1.0,1362.39,2024-11-04 08:06:50,Debit,Student,Branch,1
174.25,2023-07-17 18:54:31,Seattle,50.0,67.0,1.0,10528.34,2024-11-04 08:10:29,Debit,Engineer,Online,2
183.71,2023-06-19 18:22:10,Denver,38.0,102.0,1.0,552.52,2024-11-04 08:09:51,Debit,Engineer,Branch,2
345.39,2023-10-23 17:13:57,Phoenix,58.0,80.0,1.0,6451.96,2024-11-04 08:08:16,Debit,Engineer,Online,2
922.55,2023-01-23 16:32:48,Detroit,63.0,87.0,1.0,4715.84,2024-11-04 08:11:07,Debit,Retired,Branch,3
259.91,2023-11-06 16:34:10,Denver,49.0,170.0,1.0,7176.86,2024-11-04 08:09:38,Debit,Engineer,Online,2
154.71,2023-07-03 16:40:24,San Diego,34.0,157.0,1.0,1523.72,2024-11-04 08:09:42,Debit,Engineer,Online,2
1340.19,2023-09-29 17:22:10,Austin,54.0,30.0,1.0,8654.28,2024-11-04 08:06:53,Debit,Engineer,Online,2
24.56,2023-10-20 17:27:35,Mesa,64.0,69.00000000000001,1.0,9869.93,2024-11-04 08:12:05,Debit,Engineer,Branch,0
568.07,2023-08-28 17:03:53,Washington,48.0,115.0,1.0,10556.81,2024-11-04 08:07:32,Debit,Engineer,Branch,2
9.61,2023-06-22 18:37:29,San Diego,58.0,179.0,1.0,12883.91,2024-11-04 08:09:10,Debit,Engineer,Online,2
392.96,2023-11-20 16:28:09,Kansas City,24.0,100.00000000000001,1.0,791.65,2024-11-04 08:08:38,Debit,Student,Online,1
716.93,2023-09-14 16:49:33,Milwaukee,60.0,34.0,1.0,4064.02,2024-11-04 08:08:12,Debit,Retired,Online,3
223.85,2023-10-02 16:36:10,Kansas City,53.0,55.0,4.0,2929.91,2024-11-04 08:08:01,Debit,Engineer,Branch,2
230.66,2023-03-27 18:16:04,Houston,21.0,135.0,1.0,618.05,2024-11-04 08:10:44,Debit,Student,Branch,1
442.12,2023-12-21 16:37:03,Los Angeles,19.0,260.0,1.0,1375.8,2024-11-04 08:08:21,Debit,Student,Online,1
644.17,2023-03-02 16:05:09,San Antonio,29.0,72.0,1.0,1143.52,2024-11-04 08:08:04,Debit,Engineer,Branch,2
508.67999999999995,2023-06-26 16:16:50,Mesa,51.0,127.0,1.0,7708.41,2024-11-04 08:09:32,Debit,Engineer,Branch,0
858.63,2023-04-18 17:27:23,San Francisco,27.0,185.0,1.0,1872.96,2024-11-04 08:10:47,Debit,Student,Branch,1
25.36,2023-07-17 17:08:24,Louisville,57.0,78.0,1.0,201.04,2024-11-04 08:11:05,Debit,Engineer,Branch,2
147.62,2023-09-01 17:26:02,Charlotte,71.0,133.0,1.0,2115.8,2024-11-04 08:07:22,Debit,Retired,Branch,3
115.02,2023-09-11 16:19:04,San Antonio,37.0,175.0,1.0,7643.66,2024-11-04 08:08:38,Debit,Engineer,Branch,0
383.37,2023-01-24 17:23:56,Fort Worth,30.0,24.0,1.0,8901.93,2024-11-04 08:11:07,Debit,Engineer,Branch,0
98.54,2023-08-11 16:18:46,El Paso,20.0,167.0,1.0,9383.43,2024-11-04 08:10:02,Debit,Student,Online,1
83.24,2023-10-16 18:35:11,Fort Worth,55.0,164.0,1.0,1181.31,2024-11-04 08:10:52,Debit,Engineer,Branch,0
196.16,2023-02-24 16:29:23,Virginia Beach,27.0,146.0,1.0,9418.86,2024-11-04 08:08:32,Debit,Engineer,Branch,0
129.94,2023-01-02 16:36:02,Las Vegas,32.0,235.0,1.0,7954.919999999999,2024-11-04 08:06:35,Debit,Engineer,Branch,2
306.9,2023-11-30 16:31:03,Colorado Springs,46.0,51.00000000000001,1.0,9418.08,2024-11-04 08:10:48,Debit,Engineer,Online,2
114.98,2023-11-01 16:52:01,Seattle,59.0,80.0,1.0,6144.68,2024-11-04 08:09:24,Debit,Retired,Online,3
756.59,2023-03-06 16:47:02,Sacramento,27.0,17.0,1.0,420.65,2024-11-04 08:11:40,Debit,Student,Branch,1
503.76000000000005,2023-11-27 18:32:49,Los Angeles,22.0,35.0,1.0,447.82,2024-11-04 08:09:22,Debit,Student,Online,1
143.03,2023-07-31 16:37:46,San Antonio,63.0,147.0,1.0,7981.450000000001,2024-11-04 08:10:42,Debit,Retired,Branch,3
1045.22,2023-11-22 16:13:39,Columbus,53.0,73.0,1.0,1829.9,2024-11-04 08:07:35,Debit,Retired,Branch,3
245.54,2023-03-21 16:29:31,New York,25.0,180.0,1.0,985.0600000000001,2024-11-04 08:10:26,Debit,Student,Branch,1
254.37000000000003,2023-04-20 18:26:50,Dallas,51.0,174.0,1.0,8849.26,2024-11-04 08:06:56,Debit,Engineer,Online,2
213.76,2023-03-01 17:52:14,Dallas,78.0,282.0,1.0,3528.72,2024-11-04 08:09:36,Debit,Retired,Branch,3
327.86,2023-02-10 16:52:48,Fresno,40.0,104.0,1.0,480.16,2024-11-04 08:06:30,Debit,Engineer,Online,2
2.5,2023-07-21 16:43:11,San Diego,47.0,107.0,1.0,12145.27,2024-11-04 08:09:53,Debit,Engineer,Online,2
300.08,2023-10-09 17:02:43,Austin,68.0,47.0,1.0,13546.75,2024-11-04 08:12:18,Debit,Engineer,Online,2
56.98,2024-01-01 16:34:10,Oklahoma City,43.0,122.0,2.0,5688.37,2024-11-04 08:07:42,Debit,Engineer,Branch,2
407.65,2023-07-07 16:11:38,Boston,26.0,61.99999999999999,1.0,8346.64,2024-11-04 08:06:30,Debit,Engineer,Online,2
115.83,2023-05-22 17:09:52,Fresno,39.0,167.0,1.0,6481.04,2024-11-04 08:10:02,Debit,Engineer,Branch,0
53.57,2023-08-16 16:17:12,Houston,69.0,121.0,1.0,1651.33,2024-11-04 08:08:43,Debit,Retired,Branch,3
63.34,2023-11-17 16:02:02,Detroit,46.0,165.0,1.0,11174.94,2024-11-04 08:10:13,Debit,Engineer,Online,2
317.87,2023-05-22 17:29:35,Detroit,27.0,91.0,1.0,145.5,2024-11-04 08:11:32,Debit,Student,Online,1
331.65,2023-08-25 17:26:07,Portland,41.0,61.00000000000001,1.0,4172.57,2024-11-04 08:11:00,Debit,Engineer,Online,2
5.04,2023-11-27 16:38:34,Washington,56.0,41.0,1.0,5558.36,2024-11-04 08:10:48,Debit,Retired,Branch,3
214.54,2023-08-04 17:46:44,Detroit,70.0,247.0,1.0,11151.53,2024-11-04 08:11:56,Debit,Engineer,Online,2
598.81,2023-09-04 16:48:35,Philadelphia,57.0,158.0,1.0,1415.52,2024-11-04 08:10:13,Debit,Engineer,Branch,0
841.28,2023-08-09 17:34:26,Tucson,26.0,80.0,1.0,1103.64,2024-11-04 08:09:58,Debit,Student,Online,1
38.15,2023-09-07 16:07:40,Mesa,26.0,107.99999999999999,1.0,303.68,2024-11-04 08:07:42,Debit,Student,Online,1
1036.66,2023-07-11 16:39:53,San Antonio,58.0,144.0,1.0,5541.57,2024-11-04 08:09:24,Debit,Engineer,Branch,0
124.72,2023-07-03 17:14:07,Oklahoma City,33.0,105.0,1.0,6309.8,2024-11-04 08:07:25,Debit,Engineer,Branch,0
302.45,2023-09-25 17:13:36,San Antonio,78.0,40.0,1.0,5133.61,2024-11-04 08:11:55,Debit,Retired,Branch,3
208.04,2023-11-20 17:10:02,Louisville,47.0,273.0,1.0,9344.98,2024-11-04 08:08:45,Debit,Engineer,Online,2
5.77,2023-11-17 17:27:07,Los Angeles,23.0,254.0,1.0,1117.97,2024-11-04 08:10:53,Debit,Student,Branch,1
381.33,2023-08-21 16:46:05,Albuquerque,56.0,75.0,1.0,11835.35,2024-11-04 08:09:32,Debit,Engineer,Branch,2
16.16,2023-10-16 16:59:36,Milwaukee,50.0,123.99999999999999,1.0,14401.17,2024-11-04 08:11:59,Debit,Engineer,Branch,2
486.0799999999999,2023-06-20 17:21:50,Oklahoma City,18.0,68.00000000000001,1.0,1748.69,2024-11-04 08:07:03,Debit,Student,Online,1
336.39,2023-01-16 16:53:38,San Antonio,21.0,18.0,1.0,1000.46,2024-11-04 08:09:57,Debit,Student,Branch,1
997.4299999999998,2023-11-22 16:07:19,Seattle,69.0,118.0,1.0,6810.05,2024-11-04 08:08:25,Debit,Engineer,Online,2
234.57,2023-09-01 16:09:08,Chicago,23.0,120.0,1.0,263.98,2024-11-04 08:08:47,Debit,Student,Online,1
6.0,2023-10-23 18:38:15,Chicago,30.0,246.0,1.0,5442.76,2024-11-04 08:09:43,Debit,Engineer,Online,2
1049.92,2023-10-23 16:50:33,Detroit,80.0,21.000000000000004,1.0,2037.85,2024-11-04 08:10:34,Debit,Retired,Branch,3
227.14,2023-07-03 17:42:08,Charlotte,18.0,294.0,1.0,341.94,2024-11-04 08:11:34,Debit,Student,Branch,1
233.74,2023-10-24 16:41:00,Oklahoma City,66.0,17.0,1.0,1066.59,2024-11-04 08:11:17,Debit,Retired,Online,3
113.02,2023-09-25 16:54:22,Jacksonville,69.0,166.0,1.0,6077.96,2024-11-04 08:07:21,Debit,Retired,Branch,3
45.85,2023-02-16 17:57:10,Los Angeles,20.0,91.99999999999999,1.0,1659.15,2024-11-04 08:07:24,Debit,Student,Branch,1
973.3899999999999,2023-08-30 17:23:20,Sacramento,77.0,296.0,1.0,2042.22,2024-11-04 08:11:44,Debit,Retired,Branch,3
514.95,2023-04-13 18:37:48,New York,41.0,142.0,5.0,421.93,2024-11-04 08:10:01,Debit,Engineer,Online,2
415.5,2023-07-28 16:29:23,Memphis,66.0,141.0,1.0,10113.66,2024-11-04 08:10:23,Debit,Engineer,Branch,2
265.76,2023-02-06 17:48:55,Philadelphia,54.0,91.99999999999999,1.0,4446.17,2024-11-04 08:12:18,Debit,Retired,Online,3
69.4,2023-07-24 18:08:43,Virginia Beach,80.0,113.0,1.0,6452.77,2024-11-04 08:09:04,Debit,Retired,Online,3
332.93,2023-11-20 16:29:48,Albuquerque,35.0,293.0,1.0,2788.2,2024-11-04 08:08:14,Debit,Engineer,Branch,0
267.9,2023-10-09 16:52:47,San Antonio,20.0,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,Debit,Student,Online,1
496.0299999999999,2023-11-03 16:45:52,San Francisco,61.0,265.0,1.0,12904.66,2024-11-04 08:09:41,Debit,Engineer,Branch,0
376.26,2023-02-15 16:41:11,Tucson,37.0,245.0,1.0,9062.4,2024-11-04 08:09:58,Debit,Engineer,Branch,2
83.02,2023-09-04 17:59:51,Seattle,36.0,171.0,1.0,9009.56,2024-11-04 08:11:01,Debit,Engineer,Online,2
93.26,2023-07-27 16:22:52,New York,20.0,72.0,1.0,1152.2,2024-11-04 08:12:04,Debit,Student,Online,1
803.37,2023-04-17 16:08:34,Memphis,68.0,129.0,1.0,12168.37,2024-11-04 08:08:40,Debit,Engineer,Branch,0
35.76,2023-09-19 17:38:18,Charlotte,23.0,122.0,1.0,611.8599999999999,2024-11-04 08:11:40,Debit,Student,Branch,1
28.53,2023-05-31 16:37:39,Washington,62.0,99.0,1.0,8670.53,2024-11-04 08:06:30,Debit,Engineer,Online,2
139.53,2023-10-09 17:20:09,Louisville,53.0,177.0,1.0,10098.86,2024-11-04 08:07:31,Debit,Engineer,Online,2
307.57,2023-01-09 16:12:01,Detroit,33.0,285.0,1.0,5307.74,2024-11-04 08:06:33,Debit,Engineer,Branch,0
60.650000000000006,2023-05-26 18:15:08,Tucson,56.0,53.00000000000001,1.0,1047.28,2024-11-04 08:09:22,Debit,Retired,Branch,3
74.86,2023-08-14 17:43:17,Nashville,70.0,125.0,1.0,6921.48,2024-11-04 08:07:39,Debit,Engineer,Branch,0
117.97,2023-11-24 18:51:32,Kansas City,51.0,137.0,1.0,1475.46,2024-11-04 08:09:21,Debit,Retired,Branch,3
231.91,2023-01-31 18:31:22,Memphis,34.0,165.0,1.0,112.76,2024-11-04 08:12:15,Debit,Engineer,Branch,2
126.20999999999998,2023-02-14 16:07:01,Baltimore,75.0,268.0,1.0,5669.66,2024-11-04 08:08:42,Debit,Retired,Branch,3
506.28,2023-05-02 17:03:29,Chicago,53.0,162.0,2.0,1309.95,2024-11-04 08:09:09,Debit,Retired,Online,3
304.35,2023-12-04 17:07:34,Houston,31.0,36.0,1.0,4057.1,2024-11-04 08:08:45,Debit,Engineer,Branch,0
281.85,2023-05-16 17:26:37,Detroit,22.0,109.0,1.0,1585.98,2024-11-04 08:07:38,Debit,Student,Branch,1
777.88,2023-03-20 16:58:12,Houston,31.0,17.0,1.0,6825.55,2024-11-04 08:09:15,Debit,Engineer,Branch,0
119.18,2023-08-25 18:01:38,Los Angeles,56.0,96.0,1.0,5516.5,2024-11-04 08:07:34,Debit,Retired,Branch,3
177.19,2023-05-15 17:25:28,Chicago,76.0,43.0,1.0,5343.3,2024-11-04 08:06:30,Debit,Retired,Online,3
260.88,2023-05-29 16:50:10,Denver,22.0,36.0,1.0,903.05,2024-11-04 08:06:52,Debit,Student,Branch,1
169.47,2023-03-22 16:10:14,Chicago,24.0,18.999999999999996,1.0,1806.16,2024-11-04 08:07:37,Debit,Student,Online,1
73.23,2023-05-19 16:52:53,Portland,26.0,14.0,1.0,787.7399999999999,2024-11-04 08:11:12,Debit,Student,Branch,1
1362.55,2023-02-10 18:07:07,El Paso,29.0,106.0,1.0,2429.68,2024-11-04 08:11:05,Debit,Engineer,Branch,2
792.57,2023-05-22 16:22:36,Baltimore,19.0,164.0,1.0,770.37,2024-11-04 08:10:39,Debit,Student,Branch,1
237.06,2023-12-18 16:47:17,Phoenix,71.0,45.99999999999999,1.0,1182.77,2024-11-04 08:07:50,Debit,Retired,Online,3
34.17,2023-11-21 16:57:43,Philadelphia,54.0,53.99999999999999,1.0,726.55,2024-11-04 08:06:29,Debit,Engineer,Online,2
740.25,2023-07-19 17:03:58,Philadelphia,41.0,123.0,1.0,14464.3,2024-11-04 08:08:27,Debit,Engineer,Online,2
453.54,2023-04-19 16:36:03,Albuquerque,58.0,82.0,1.0,12046.3,2024-11-04 08:12:06,Debit,Engineer,Branch,2
300.47,2023-11-13 16:11:52,Jacksonville,73.0,100.00000000000001,1.0,7885.64,2024-11-04 08:08:00,Debit,Retired,Branch,3
110.93,2023-04-07 16:38:15,Virginia Beach,19.0,201.0,1.0,1952.3499999999997,2024-11-04 08:10:53,Debit,Student,Branch,1
201.69,2023-01-03 16:46:36,Las Vegas,59.0,299.0,1.0,7328.52,2024-11-04 08:10:16,Debit,Engineer,Branch,2
399.21,2023-01-30 16:15:49,Portland,59.0,109.0,1.0,3210.39,2024-11-04 08:08:21,Debit,Engineer,Branch,2
1041.88,2023-09-06 16:44:02,Jacksonville,78.0,57.0,1.0,5726.2,2024-11-04 08:06:44,Debit,Retired,Online,3
630.36,2023-03-02 16:11:53,Mesa,62.0,52.00000000000001,1.0,1363.65,2024-11-04 08:12:15,Debit,Retired,Branch,3
10.94,2023-10-23 17:24:07,Philadelphia,60.0,245.0,1.0,1241.99,2024-11-04 08:11:53,Debit,Engineer,Branch,2
215.9,2023-01-04 16:02:09,Los Angeles,38.0,235.0,1.0,7873.280000000001,2024-11-04 08:10:23,Debit,Engineer,Branch,2
1422.55,2023-07-10 17:49:18,Washington,79.0,165.0,1.0,5674.32,2024-11-04 08:06:50,Debit,Retired,Branch,3
226.37,2023-09-18 17:07:08,Louisville,49.0,141.0,1.0,9840.04,2024-11-04 08:09:56,Debit,Engineer,Branch,0
444.89,2023-09-11 16:27:39,Las Vegas,43.0,101.0,1.0,10328.23,2024-11-04 08:11:50,Debit,Engineer,Branch,0
280.57,2023-01-27 17:35:05,Virginia Beach,25.0,24.0,1.0,293.24,2024-11-04 08:10:24,Debit,Student,Online,1
488.54,2023-07-03 17:47:49,Jacksonville,52.0,132.0,1.0,7486.63,2024-11-04 08:07:26,Debit,Engineer,Branch,0
3.3,2023-03-27 16:42:16,Los Angeles,50.0,131.0,1.0,11385.37,2024-11-04 08:10:11,Debit,Engineer,Branch,0
199.39,2023-08-21 16:16:22,Colorado Springs,69.0,165.0,1.0,7264.79,2024-11-04 08:09:06,Debit,Retired,Branch,3
20.36,2023-07-24 17:02:18,Tucson,62.0,75.0,1.0,2762.48,2024-11-04 08:11:15,Debit,Retired,Branch,3
113.64,2023-10-24 17:09:41,Detroit,62.0,32.0,1.0,6675.03,2024-11-04 08:07:55,Debit,Retired,Online,3
493.11,2023-07-31 16:25:26,Colorado Springs,53.0,236.0,1.0,7432.99,2024-11-04 08:08:01,Debit,Retired,Branch,3
307.41,2023-06-12 17:32:52,Los Angeles,19.0,14.0,1.0,1057.0,2024-11-04 08:09:48,Debit,Student,Branch,1
11.18,2023-11-30 16:52:42,Atlanta,43.0,161.0,1.0,5956.89,2024-11-04 08:10:20,Debit,Engineer,Online,2
313.82,2023-11-15 18:57:38,Tucson,59.0,151.0,1.0,7261.59,2024-11-04 08:08:42,Debit,Engineer,Branch,0
51.0,2023-01-30 16:00:38,Seattle,64.0,107.0,1.0,4943.16,2024-11-04 08:08:23,Debit,Retired,Branch,3
